,Unnamed: 0,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
0,258,AAPL,Apple Inc.,110.34,7548375288960.0,,1980.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
1,2289,MSFT,Microsoft Corporation,202.91,1535552457040.85,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/msft,
2,180,AMZN,"Amazon.com, Inc.",3008.73,1507041719653.23,,1997.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
3,163,GOOG,Alphabet Inc.,1495.53,1017205121051.55,,2004.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog,
4,164,GOOGL,Alphabet Inc.,1487.04,1011430531790.4,,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
5,3797,BABA,Alibaba Group Holding Limited,275.72,745998123352.0,,2014.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
6,1124,FB,"Facebook, Inc.",254.82,725935246742.76,,2012.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fb,
7,438,BNTC,Benitec Biopharma Inc.,7.05,679590018986.7,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bntc,
8,5112,TV,Grupo Televisa S.A.,6.75,445420080000.0,,1993.0,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/tv,
9,6732,V,Visa Inc.,205.27,436786916083.83,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/v,
10,6452,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,81.91,424791485160.0,,1997.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/tsm,
11,3265,TSLA,"Tesla, Inc. ",423.43,395288899363.05,,2010.0,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla,
12,5341,JNJ,Johnson & Johnson,147.17,387472630815.75,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/jnj,
13,6773,WMT,Walmart Inc.,136.69,387345689095.22,,,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/wmt,
14,6046,PG,Procter & Gamble Company (The),137.52,342372736853.28,,,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/pg,
