,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
3776,A,"Agilent Technologies, Inc.",99.6,30707639646.0,,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
3789,AA,Alcoa Corporation,13.45,2500681713.95,,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa,
324,AACG,ATA Creativity Global,1.09,12908479.78,11842642.0,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/aacg,
300,AACQ,Artius Acquisition Inc.,9.93,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacq,
301,AACQU,Artius Acquisition Inc.,10.47,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacqu,
302,AACQW,Artius Acquisition Inc.,1.66,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacqw,
196,AAL,"American Airlines Group, Inc.",13.63,6931688651.69,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal,
6905,AAMC,Altisource Asset Management Corp,21.37,34878340.29,,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
329,AAME,Atlantic American Corporation,2.1,42953402.1,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aame,
3731,AAN,"Aaron&#39;s,  Inc.",56.75,3810226723.25,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
263,AAOI,"Applied Optoelectronics, Inc.",10.43,237532434.09,,2013.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/aaoi,
23,AAON,"AAON, Inc.",57.81,3021247489.56,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
3757,AAP,Advance Auto Parts Inc,154.76,10699914961.88,,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
258,AAPL,Apple Inc.,110.34,7548375288960.0,,1980.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
3845,AAT,"American Assets Trust, Inc.",26.02,1563123346.36,,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat,
6903,AAU,"Almaden Minerals, Ltd.",1.02,122763504.54,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
335,AAWW,Atlas Air Worldwide Holdings,61.11,1597173159.96,,,Transportation,Transportation Services,https://old.nasdaq.com/symbol/aaww,
1940,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,77.95,0.0,,,,,https://old.nasdaq.com/symbol/aaxj,
375,AAXN,"Axon Enterprise, Inc.",82.83,5257682208.57,,,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/aaxn,
3805,AB,AllianceBernstein Holding L.P.,27.81,2678992113.51,,,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab,
