,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
258,AAPL,Apple Inc.,110.34,7548375288960.0,,1980.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
2289,MSFT,Microsoft Corporation,202.91,1535552457040.85,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/msft,
180,AMZN,"Amazon.com, Inc.",3008.73,1507041719653.23,,1997.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
163,GOOG,Alphabet Inc.,1495.53,1017205121051.55,,2004.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog,
164,GOOGL,Alphabet Inc.,1487.04,1011430531790.4,,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
3797,BABA,Alibaba Group Holding Limited,275.72,745998123352.0,,2014.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
1124,FB,"Facebook, Inc.",254.82,725935246742.76,,2012.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fb,
438,BNTC,Benitec Biopharma Inc.,7.05,679590018986.7,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bntc,
5112,TV,Grupo Televisa S.A.,6.75,445420080000.0,,1993.0,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/tv,
6732,V,Visa Inc.,205.27,436786916083.83,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/v,
6452,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,81.91,424791485160.0,,1997.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/tsm,
3265,TSLA,"Tesla, Inc. ",423.43,395288899363.05,,2010.0,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla,
5341,JNJ,Johnson & Johnson,147.17,387472630815.75,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/jnj,
6773,WMT,Walmart Inc.,136.69,387345689095.22,,,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/wmt,
6046,PG,Procter & Gamble Company (The),137.52,342372736853.28,,,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/pg,
5532,MA,Mastercard Incorporated,339.43,339790093480.11,,2006.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ma,
2507,NVDA,NVIDIA Corporation,498.54,307955075242.5,,1999.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/nvda,
5190,HD,"Home Depot, Inc. (The)",279.96,301364485699.44,,,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/hd,
5303,JPM,J P Morgan Chase & Co,98.56,300371898238.72,,,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm,
6674,UNH,UnitedHealth Group Incorporated,304.98,289833400694.76,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/unh,
6717,VZ,Verizon Communications Inc.,60.59,250724683983.3,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vz,
6774,DIS,Walt Disney Company (The),130.22,235315791390.3,,,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dis,
66,ADBE,Adobe Inc.,474.3,227505222857.7,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
6228,CRM,Salesforce.com Inc,244.53,222522300000.0,,2004.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm,
4063,BAC,Bank of America Corporation,25.35,219634878418.8,,,Finance,Major Banks,https://old.nasdaq.com/symbol/bac,
4459,KO,Coca-Cola Company (The),50.55,217134437355.45,,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ko,
5564,MRK,"Merck & Company, Inc.",85.64,216604205234.8,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrk,
1770,INTC,Intel Corporation,50.32,214010960000.0,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/intc,
5759,NVS,Novartis AG,90.97,208228475303.64,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nvs,
787,CMCSA,Comcast Corporation,45.58,208214025986.12,,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/cmcsa,
2419,NFLX,"Netflix, Inc.",470.2,207365461298.6,,2002.0,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/nflx,
3993,T,AT&T Inc.,29.07,207123750000.0,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/t,
2661,PYPL,"PayPal Holdings, Inc.",175.79,206254366216.72,,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/pypl,
5962,PFE,"Pfizer, Inc.",36.82,204604314493.74,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/pfe,
6236,SAP,SAP SE,160.43,191497249927.54,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sap,
3733,ABT,Abbott Laboratories,106.66,188844729693.34,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
6572,TM,Toyota Motor Corp Ltd Ord,135.0,188727461325.0,,,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tm,
2687,PEP,"Pepsico, Inc.",133.2,184433094554.4,,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/pep,
5738,NKE,"Nike, Inc.",116.36,181508631561.64,,,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/nke,
5883,ORCL,Oracle Corporation,60.18,180970948980.0,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/orcl,
6540,TMO,Thermo Fisher Scientific Inc,432.93,171262518942.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tmo,
729,CSCO,"Cisco Systems, Inc.",40.37,170903379239.89,,1990.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/csco,
5544,MCD,McDonald&#39;s Corporation,222.58,165622337566.12,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/mcd,
6661,UL,Unilever PLC,62.47,163752611000.0,,,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ul,
5760,NVO,Novo Nordisk A/S,69.57,162039424453.29,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nvo,
6660,UN,Unilever NV,61.53,161288589000.0,,,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/un,
4844,XOM,Exxon Mobil Corporation,37.8,159827218286.4,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/xom,
3734,ABBV,AbbVie Inc.,89.63,158182003838.98,,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
3745,ACN,Accenture plc,236.82,150802640536.26,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
834,COST,Costco Wholesale Corporation,338.88,149623555183.68,,,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/cost,
531,AVGO,Broadcom Inc.,365.92,148015127039.52,,2009.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/avgo,
4374,CVX,Chevron Corporation,78.79,147123653272.37,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx,
4589,DHR,Danaher Corporation,207.15,146954040584.55,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr,
3991,AZN,Astrazeneca PLC,55.94,146818754812.56,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/azn,
